0,35729513045875777 0,03894460519547325
0,35839004704013144 0,0378488136574074
0,3588010295669491 0,03681677597736625
0,36001593294772927 0,035630208333333344
0,3613334459003775 0,03458587319958849
0,3628882372893459 0,03357349537037037
0,36411432299105007 0,03511062885802467
0,36497322937494053 0,036368152006172834
0,3653497735765972 0,037250675154320984
0,36603480106874237 0,038133198302469126
0,3670533047105589 0,039099054783950614
0,36852941198348094 0,040118875385802465
0,37342121744977624 0,040947434413580244
0,37803912423831276 0,0401040702160494
0,3804213528277635 0,03899363425925926
0,3809808879010758 0,038008198302469126
0,38192668414183245 0,036858442644032915
0,3830820174890505 0,03559080825617289
0,384455921819956 0,03434558256172842
0,3865168136484813 0,033068479938271604
0,38786098069202446 0,034497845936213946
0,3897329817968676 0,03571127507716046
0,39117899846075715 0,03703999485596704
0,39315224667952003 0,03838570601851851
0,395719786906122 0,0394374035493827
0,4004410322249199 0,040415477109053494
0,4044421311172999 0,03981491126543209
0,4065357591283443 0,03872154706790123
0,4086191792424387 0,03749582047325102
0,4099321510818337 0,03615957754629634
0,41075107261020644 0,035009741512345746
0,41131843282871555 0,03389429012345687
0,4124717491431009 0,03256192129629608
0,413597078662049 0,031440731095679006
0,4152290888119269 0,03330925282921798
0,41661443456631436 0,034556520061728394
0,41768028331191087 0,035904803240740746
0,41869950103541853 0,03712065972222224
0,4198849361491954 0,03813069058641976
0,4211869302223174 0,03901321373456791
0,42479908270256117 0,039961902006172854
0,42805214135247077 0,03930989583333333
0,4301847165690755 0,03872154706790123
0,4318055815897839 0,037618393132716046
0,4331066198348092 0,036368152006172834
0,4342695068274144 0,03520617926954732
0,4355886487789201 0,03418142361111111
0,436919637544035 0,033088059413580256
0,43808021864784663 0,032136927726337444
0,4394410413988859 0,03142115162037036
0,4409315121274873 0,03262721836419753
0,44193787638055787 0,03367640817901235
0,4426261172403123 0,03460059799382717
0,44302515501523376 0,035774787808642
0,4434433391054936 0,036956500771604936
0,4447453331786156 0,03783902391975308
0,44576195243819217 0,038780446244855944
0,44956440273017223 0,03960407021604938
0,45398751770327533 0,03883675733024691
0,4560445948974897 0,0379762409979424
0,4580596838403313 0,0370373263888889
0,45921912935589837 0,036071469907407415
0,4608289967747312 0,03506645447530863
0,4618088916559554 0,03411038773148147
0,46303707621235196 0,03285529192386829
0,46439792127844426 0,031440731095679006
0,46580494858611826 0,032791666666666656
0,4666890486646672 0,03384809027777776
0,46800389620822624 0,03489728009259259
0,4687681966858675 0,03610091949588477
0,4695957033109588 0,03741734182098766
0,4715468447507062 0,038476401748971184
0,47433072507557367 0,03927312403549382
0,47838671093973156 0,03844444444444446
0,48079071902075593 0,037375675154320984
0,4822554344592022 0,036368152006172834
0,48309354321384385 0,03523562885802467
0,4836769578731472 0,03407835005144036
0,48465794743168616 0,03291888503086421
0,4859389504784348 0,031408854166666667
0,4879343773802722 0,03280140817901231
0,48958039518470914 0,03414477237654318
0,4903039830881653 0,03552729552469135
0,4913007072384081 0,03645148533950617
0,49215795115086164 0,03744671103395063
0,493527119731664 0,03849347350823047
0,4963205750737884 0,039412808641975314
0,5006481754221016 0,039280446244855965
0,5017258685018565 0,03842737268518518
0,5030609372024659 0,037618393132716046
0,5043718089474436 0,03649565972222221
0,5060973650385604 0,035250000000000004
0,50739235218509 0,034041666666666665
0,5092166747000857 0,0327155671296296
0,5111384544891935 0,03151427469135802
0,512165608933162 0,0328330439814815
0,5128544299842902 0,03376475694444443
0,5138704343401886 0,03493894675925925
